Algorithm,ArraySize,ValueRange,ExecutionTime_us,MemoryUsed_bytes,Distribution,EdgeCase
Counting Sort (Non-Stable),100,50,4,204,uniform,false
Counting Sort (Stable),100,50,3,604,uniform,false
Radix Sort (LSD),100,50,18,800,uniform,false
Bucket Sort,100,50,30,800,uniform,false
Flash Sort,100,50,45,800,uniform,false
Spread Sort,100,50,18,400,uniform,false
Counting Sort (Non-Stable),100,50,3,184,normal,false
Counting Sort (Stable),100,50,1,584,normal,false
Radix Sort (LSD),100,50,16,800,normal,false
Bucket Sort,100,50,25,800,normal,false
Flash Sort,100,50,32,800,normal,false
Spread Sort,100,50,17,400,normal,false
Counting Sort (Non-Stable),100,50,3,200,skewed,false
Counting Sort (Stable),100,50,1,600,skewed,false
Radix Sort (LSD),100,50,16,800,skewed,false
Bucket Sort,100,50,24,800,skewed,false
Flash Sort,100,50,29,800,skewed,false
Spread Sort,100,50,17,400,skewed,false
Counting Sort (Non-Stable),100,50,1,204,concentrated,false
Counting Sort (Stable),100,50,2,604,concentrated,false
Radix Sort (LSD),100,50,16,800,concentrated,false
Bucket Sort,100,50,17,800,concentrated,false
Flash Sort,100,50,25,800,concentrated,false
Spread Sort,100,50,16,400,concentrated,false
Counting Sort (Non-Stable),100,100,3,404,uniform,false
Counting Sort (Stable),100,100,1,804,uniform,false
Radix Sort (LSD),100,100,28,800,uniform,false
Bucket Sort,100,100,27,800,uniform,false
Flash Sort,100,100,29,800,uniform,false
Spread Sort,100,100,28,400,uniform,false
Counting Sort (Non-Stable),100,100,3,332,normal,false
Counting Sort (Stable),100,100,1,732,normal,false
Radix Sort (LSD),100,100,16,800,normal,false
Bucket Sort,100,100,26,800,normal,false
Flash Sort,100,100,27,800,normal,false
Spread Sort,100,100,16,400,normal,false
Counting Sort (Non-Stable),100,100,3,404,skewed,false
Counting Sort (Stable),100,100,2,804,skewed,false
Radix Sort (LSD),100,100,28,800,skewed,false
Bucket Sort,100,100,26,800,skewed,false
Flash Sort,100,100,28,800,skewed,false
Spread Sort,100,100,29,400,skewed,false
Counting Sort (Non-Stable),100,100,2,404,concentrated,false
Counting Sort (Stable),100,100,2,804,concentrated,false
Radix Sort (LSD),100,100,28,800,concentrated,false
Bucket Sort,100,100,21,800,concentrated,false
Flash Sort,100,100,26,800,concentrated,false
Spread Sort,100,100,28,400,concentrated,false
Counting Sort (Non-Stable),100,500,5,1984,uniform,false
Counting Sort (Stable),100,500,3,2384,uniform,false
Radix Sort (LSD),100,500,28,800,uniform,false
Bucket Sort,100,500,26,800,uniform,false
Flash Sort,100,500,42,800,uniform,false
Spread Sort,100,500,28,400,uniform,false
Counting Sort (Non-Stable),100,500,4,1740,normal,false
Counting Sort (Stable),100,500,2,2140,normal,false
Radix Sort (LSD),100,500,28,800,normal,false
Bucket Sort,100,500,28,800,normal,false
Flash Sort,100,500,29,800,normal,false
Spread Sort,100,500,28,400,normal,false
Counting Sort (Non-Stable),100,500,4,1984,skewed,false
Counting Sort (Stable),100,500,2,2384,skewed,false
Radix Sort (LSD),100,500,28,800,skewed,false
Bucket Sort,100,500,27,800,skewed,false
Flash Sort,100,500,29,800,skewed,false
Spread Sort,100,500,51,400,skewed,false
Counting Sort (Non-Stable),100,500,4,2004,concentrated,false
Counting Sort (Stable),100,500,2,2404,concentrated,false
Radix Sort (LSD),100,500,28,800,concentrated,false
Bucket Sort,100,500,24,800,concentrated,false
Flash Sort,100,500,29,800,concentrated,false
Spread Sort,100,500,28,400,concentrated,false
Counting Sort (Non-Stable),100,1000,11,3984,uniform,false
Counting Sort (Stable),100,1000,4,4384,uniform,false
Radix Sort (LSD),100,1000,28,800,uniform,false
Bucket Sort,100,1000,29,800,uniform,false
Flash Sort,100,1000,29,800,uniform,false
Spread Sort,100,1000,28,400,uniform,false
Counting Sort (Non-Stable),100,1000,5,3952,normal,false
Counting Sort (Stable),100,1000,3,4352,normal,false
Radix Sort (LSD),100,1000,27,800,normal,false
Bucket Sort,100,1000,25,800,normal,false
Flash Sort,100,1000,29,800,normal,false
Spread Sort,100,1000,28,400,normal,false
Counting Sort (Non-Stable),100,1000,5,3956,skewed,false
Counting Sort (Stable),100,1000,3,4356,skewed,false
Radix Sort (LSD),100,1000,28,800,skewed,false
Bucket Sort,100,1000,30,800,skewed,false
Flash Sort,100,1000,29,800,skewed,false
Spread Sort,100,1000,28,400,skewed,false
Counting Sort (Non-Stable),100,1000,5,3884,concentrated,false
Counting Sort (Stable),100,1000,2,4284,concentrated,false
Radix Sort (LSD),100,1000,27,800,concentrated,false
Bucket Sort,100,1000,25,800,concentrated,false
Flash Sort,100,1000,28,800,concentrated,false
Spread Sort,100,1000,28,400,concentrated,false
Counting Sort (Non-Stable),100,5000,40,19936,uniform,false
Counting Sort (Stable),100,5000,7,20336,uniform,false
Radix Sort (LSD),100,5000,40,800,uniform,false
Bucket Sort,100,5000,29,800,uniform,false
Flash Sort,100,5000,31,800,uniform,false
Spread Sort,100,5000,9,400,uniform,false
Counting Sort (Non-Stable),100,5000,10,16904,normal,false
Counting Sort (Stable),100,5000,7,17304,normal,false
Radix Sort (LSD),100,5000,40,800,normal,false
Bucket Sort,100,5000,27,800,normal,false
Flash Sort,100,5000,28,800,normal,false
Spread Sort,100,5000,9,400,normal,false
Counting Sort (Non-Stable),100,5000,11,19832,skewed,false
Counting Sort (Stable),100,5000,7,20232,skewed,false
Radix Sort (LSD),100,5000,40,800,skewed,false
Bucket Sort,100,5000,28,800,skewed,false
Flash Sort,100,5000,30,800,skewed,false
Spread Sort,100,5000,10,400,skewed,false
Counting Sort (Non-Stable),100,5000,11,19964,concentrated,false
Counting Sort (Stable),100,5000,7,20364,concentrated,false
Radix Sort (LSD),100,5000,39,800,concentrated,false
Bucket Sort,100,5000,28,800,concentrated,false
Flash Sort,100,5000,30,800,concentrated,false
Spread Sort,100,5000,8,400,concentrated,false
Counting Sort (Non-Stable),100,10000,71,39668,uniform,false
Counting Sort (Stable),100,10000,61,40068,uniform,false
Radix Sort (LSD),100,10000,40,800,uniform,false
Bucket Sort,100,10000,34,800,uniform,false
Flash Sort,100,10000,32,800,uniform,false
Spread Sort,100,10000,9,400,uniform,false
Counting Sort (Non-Stable),100,10000,69,36748,normal,false
Counting Sort (Stable),100,10000,58,37148,normal,false
Radix Sort (LSD),100,10000,40,800,normal,false
Bucket Sort,100,10000,33,800,normal,false
Flash Sort,100,10000,29,800,normal,false
Spread Sort,100,10000,9,400,normal,false
Counting Sort (Non-Stable),100,10000,67,39920,skewed,false
Counting Sort (Stable),100,10000,94,40320,skewed,false
Radix Sort (LSD),100,10000,40,800,skewed,false
Bucket Sort,100,10000,33,800,skewed,false
Flash Sort,100,10000,30,800,skewed,false
Spread Sort,100,10000,9,400,skewed,false
Counting Sort (Non-Stable),100,10000,68,39644,concentrated,false
Counting Sort (Stable),100,10000,58,40044,concentrated,false
Radix Sort (LSD),100,10000,41,800,concentrated,false
Bucket Sort,100,10000,34,800,concentrated,false
Flash Sort,100,10000,29,800,concentrated,false
Spread Sort,100,10000,9,400,concentrated,false
Counting Sort (Non-Stable),100,100000,403,398144,uniform,false
Counting Sort (Stable),100,100000,117,398544,uniform,false
Radix Sort (LSD),100,100000,53,800,uniform,false
Bucket Sort,100,100000,106,800,uniform,false
Flash Sort,100,100000,39,800,uniform,false
Spread Sort,100,100000,10,400,uniform,false
Counting Sort (Non-Stable),100,100000,363,345556,normal,false
Counting Sort (Stable),100,100000,101,345956,normal,false
Radix Sort (LSD),100,100000,52,800,normal,false
Bucket Sort,100,100000,109,800,normal,false
Flash Sort,100,100000,38,800,normal,false
Spread Sort,100,100000,10,400,normal,false
Counting Sort (Non-Stable),100,100000,175,119568,skewed,false
